#SampleID	Type	Class1	Class2	Class3	ClassOther
'000001531.1130682'	multipleyear	1	0	0	0
'000001705.1130911'	multipleyear	0	0	0	1
'000001135.1130980'	multipleyear	0	0	0	0
'000001047.1130992'	multipleyear	0	0	0	0
'000002371.1130989'	multipleyear	1	0	0	0
'000004009.1130786'	multipleyear	1	0	0	0
'000001098.1130877'	multipleyear	0	0	0	0
'000002151.1130907'	multipleyear	0	0	0	1
'000001552.1130872'	multipleyear	1	0	0	0
'000003366.1130594'	multipleyear	1	0	0	0
'000001659.1130849'	multipleyear	1	0	0	0
'000001842.1130868'	multipleyear	0	0	0	1
'000001265.1130669'	multipleyear	1	0	0	0
'000002616.1130897'	multipleyear	1	0	0	0
'000001118.1130827'	multipleyear	0	0	0	0
'000001556.1130924'	multipleyear	1	0	0	0
'000002329.1130691'	multipleyear	1	0	0	0
'000001228.1130942'	multipleyear	1	0	0	0
'000001174.1130885'	multipleyear	1	0	0	0
'000003666.1130887'	multipleyear	1	0	0	0
'000002826.1130740'	multipleyear	1	0	0	0
'000001269.1130731'	multipleyear	1	0	0	0
'000004139.1130855'	multipleyear	1	0	0	0
'000001285.1130778'	multipleyear	1	0	0	0
'000002185.1130857'	multipleyear	1	0	0	0
'000001793.1130900'	multipleyear	0	0	0	1
'000002165.1130727'	multipleyear	0	0	0	1
'000002631.1130602'	multipleyear	1	0	0	0
'000001649.1130834'	multipleyear	1	0	0	0
'000004187.1130909'	multipleyear	1	0	0	0
'000001018.1130739'	multipleyear	0	0	0	0
'000002952.1130908'	multipleyear	1	0	0	0
'000002506.1130940'	multipleyear	1	0	0	0
'000002211.1130603'	multipleyear	1	0	0	0
'000001575.1130842'	multipleyear	1	0	0	0
'000001621.1130576'	multipleyear	1	0	0	0
'000003120.1130879'	multipleyear	1	0	0	0
'000001151.1130858'	multipleyear	1	0	0	0
'000001543.1130644'	multipleyear	1	0	0	0
'000002735.1130642'	multipleyear	1	0	0	0
'000001830.1130979'	multipleyear	0	0	0	1
'000002350.1130830'	multipleyear	1	0	0	0
'000003536.1130973'	multipleyear	1	0	0	0
