"id","deleted","project_id","mgrast_metagenome_id","name","bp_count","sequence_count","assigned_read_count","abundances_inputted","cazy_generated"
1888,0,14,4538267.3,"DD30",2366228,11714,10235,1,0
1968,0,14,4538211.3,"DD122",3433394,16997,15826,1,0
1967,0,14,4538210.3,"DD121",4734072,23436,18685,1,0
1966,0,14,4538209.3,"DD120",4544394,22497,21071,1,0
1965,0,14,4538207.3,"DD119",6312904,31252,28382,1,0
1964,0,14,4538206.3,"DD118",4938294,24447,23829,1,0
1963,0,14,4538205.3,"DD116",3774976,18688,16280,1,0
1962,0,14,4538204.3,"DD115",937684,4642,4458,1,0
1961,0,14,4538203.3,"DD114",5038890,24945,24437,1,0
1960,0,14,4538202.3,"DD113",4319568,21384,20198,1,0
1959,0,14,4538201.3,"DD112",5706904,28252,22695,1,0
1958,0,14,4538200.3,"DD111",4120396,20398,19283,1,0
1957,0,14,4538199.3,"DD110",4000408,19804,17556,1,0
1956,0,14,4538198.3,"DD108",3000306,14853,13600,1,0
1970,0,14,4538213.3,"DD125",3799418,18809,18639,1,0
1971,0,14,4538215.3,"DD128",3092216,15308,13943,1,0
1972,0,14,4538216.3,"DD129",4228062,20931,20342,1,0
1973,0,14,4538218.3,"DD130",5437234,26917,26311,1,0
1974,0,14,4538220.3,"DD132",2989196,14798,14230,1,0
1975,0,14,4538221.3,"DD133",3377642,16721,15785,1,0
1976,0,14,4538222.3,"DD134",4206448,20824,19855,1,0
1977,0,14,4538223.3,"DD135",4967382,24591,22020,1,0
1978,0,14,4538224.3,"DD136",6100804,30202,29545,1,0
1979,0,14,4538225.3,"DD137",4644586,22993,22549,1,0
1980,0,14,4538226.3,"DD138",882942,4371,4096,1,0
1981,0,14,4538227.3,"DD139",5196854,25727,24371,1,0
1982,0,14,4538229.3,"DD140",3742252,18526,17477,1,0
1983,0,14,4538230.3,"DD141",4846788,23994,20534,1,0
1984,0,14,4538232.3,"DD144",3358048,16624,16041,1,0
1985,0,14,4538233.3,"DD145",2518132,12466,11268,1,0
1986,0,14,4538234.3,"DD146",4861130,24065,22889,1,0
1987,0,14,4538235.3,"DD147",6194532,30666,28948,1,0
1988,0,14,4538236.3,"DD148",11373408,56304,55069,1,0
1989,0,14,4538237.3,"DD149",7377444,36522,26267,1,0
1990,0,14,4538239.3,"DD150",8557124,42362,36372,1,0
1991,0,14,4538240.3,"DD151",7549952,37376,35251,1,0
1992,0,14,4538241.3,"DD152",9189990,45495,45132,1,0
1993,0,14,4538242.3,"DD153",8595100,42550,41128,1,0
1994,0,14,4538243.3,"DD154",12717112,62956,61894,1,0
1995,0,14,4538244.3,"DD155",13321900,65950,65378,1,0
1996,0,14,4538245.3,"DD157",9474406,46903,42319,1,0
1997,0,14,4538246.3,"DD160",13398458,66329,59838,1,0
1998,0,14,4538247.3,"DD161",17606522,87161,84924,1,0
1999,0,14,4538248.3,"DD162",13336040,66020,62866,1,0
2000,0,14,4538249.3,"DD164",13951736,69068,67971,1,0
